geojson_name,matched_name,similarity_score,business_type,corporation_number,location,status,source_file
ASGARD GREEN CO-OPERATIVE HOMES INC,"ASGARD GREEN CO-OPERATIVE HOMES, INC. (522379)",86.41975308641976,Co-operative Non-Share,522379,"KITCHENER, Ontario, Canada",Active,all_businesses.json
AUDUBON COMMUNITY ASSOCIATION,AUDUBON COMMUNITY ASSOCIATION (1327255),85.29411764705883,Not-for-Profit Corporation,1327255,"KITCHENER, Ontario, Canada",Active,all_businesses.json
AVENTINE CO-OPERATIVE HOMES INC,AVENTINE CO-OPERATIVE HOMES INC. (522202),86.11111111111111,Co-operative Non-Share,522202,"KITCHENER, Ontario, Canada",Active,all_businesses.json
CENTRAL ONTARIO MUSICIANS ASSOCIATION,CENTRAL ONTARIO MUSICIANS' ASSOCIATION (1940200),87.05882352941177,Not-for-Profit Corporation,1940200,"Kitchener, Ontario, Canada",Active,all_businesses.json
CHILD WITNESS CENTRE OF WATERLOO REGION,CHILD WITNESS CENTRE OF WATERLOO REGION (557582),89.65517241379311,Not-for-Profit Corporation,557582,"Kitchener, Ontario, Canada",Active,all_businesses.json
COLUMBUS KITCHENER CO-OPERATIVE INC,COLUMBUS KITCHENER CO-OPERATIVE INC. (1851852),86.41975308641976,Co-operative Non-Share,1851852,"KITCHENER, Ontario, Canada",Active,all_businesses.json
EMANUEL HOUSING CO-OPERATIVE INC,EMANUEL HOUSING CO-OPERATIVE INC. (522330),86.48648648648648,Co-operative Non-Share,522330,"KITCHENER, Ontario, Canada",Active,all_businesses.json
FIRST MENNONITE CHURCH KITCHENER,FIRST MENNONITE CHURCH KITCHENER,100.0,Federal Non-Profit,407533-1,KITCHENER,Registered,charity_business_overlaps.csv
FREEDOM IN CHRIST PENTECOSTAL ASSEMBLY,FREEDOM IN CHRIST PENTECOSTAL ASSEMBLY,100.0,Federal Non-Profit,453626-6,KITCHENER,Registered,charity_business_overlaps.csv
GRANDVIEW BAPTIST CHURCH,GRANDVIEW BAPTIST CHURCH,100.0,Federal Non-Profit,344895-9,KITCHENER,Registered,charity_business_overlaps.csv
HISLACAN HOMES KITCHENER-WATERLOO INC,HISLACAN HOMES KITCHENER-WATERLOO INC. (495856),88.09523809523809,Not-for-Profit Corporation,495856,"KITCHENER, Ontario, Canada",âœ… Found,all_businesses.json
IMMANUEL PENTECOSTAL CHURCH OF KITCHENER,IMMANUEL PENTECOSTAL CHURCH OF KITCHENER (1699709),88.88888888888889,Not-for-Profit Corporation,1699709,"Kitchener, Ontario, Canada",Active,all_businesses.json
ISLAMIC CO-OPERATIVE HOUSING CORPORATION,ISLAMIC CO-OPERATIVE HOUSING CORPORATION LTD. (432481),85.1063829787234,Co-operative with Share,432481,"Scarborough, Ontario, Canada",Active,all_businesses.json
K-W URBAN NATIVE WIGWAM PROJECT,K-W URBAN NATIVE WIGWAM PROJECT (708893),87.32394366197182,Not-for-Profit Corporation,708893,"Kitchener, Ontario, Canada",Active,all_businesses.json
K-W WORKING CENTRE FOR THE UNEMPLOYED,K-W WORKING CENTRE FOR THE UNEMPLOYED (525417),89.1566265060241,Not-for-Profit Corporation,525417,"Kitchener, Ontario, Canada",Active,all_businesses.json
KINGDOM COMMUNITY INTERNATIONAL,KINGDOM COMMUNITY INTERNATIONAL (1626489),86.11111111111111,Not-for-Profit Corporation,1626489,"Kitchener, Ontario, Canada",Active,all_businesses.json
MARTIN LUTHER EVANGELICAL CHURCH INC,"MARTIN LUTHER EVANGELICAL CHURCH, INC.",97.2972972972973,Federal Non-Profit,326528-5,KITCHENER,Registered,charity_business_overlaps.csv
NEW GENERATION CO-OPERATIVE HOMES INC,NEW GENERATION CO-OPERATIVE HOMES INC. (522393),88.09523809523809,Co-operative Non-Share,522393,"KITCHENER, Ontario, Canada",Active,all_businesses.json
NORTHSIDE COMMUNITY CHURCH OF KITCHENER,NORTHSIDE COMMUNITY CHURCH OF KITCHENER,100.0,Federal Non-Profit,408030-1,KITCHENER,Registered,charity_business_overlaps.csv
PIONEER PARK CHURCH OF GOD,PIONEER PARK CHURCH OF GOD (349155),85.24590163934427,Not-for-Profit Corporation,349155,"Kitchener, Ontario, Canada",Active,all_businesses.json
RARE CHARITABLE RESEARCH RESERVE,RARE CHARITABLE RESEARCH RESERVE (1506166),86.48648648648648,Not-for-Profit Corporation,1506166,"Cambridge, Ontario, Canada",Active,all_businesses.json
ROCKWAY MENNONITE COLLEGIATE INC,ROCKWAY MENNONITE COLLEGIATE INC. (242384),86.48648648648648,Not-for-Profit Corporation,242384,"Kitchener, Ontario, Canada",Active,all_businesses.json
SAND HILLS CO-OPERATIVE HOMES INC,SAND HILLS CO-OPERATIVE HOMES INC. (522331),86.8421052631579,Co-operative Non-Share,522331,"KITCHENER, Ontario, Canada",Active,all_businesses.json
SHALOM WORSHIP AND HEALING CENTER,SHALOM WORSHIP AND HEALING CENTER (1889423),86.8421052631579,Not-for-Profit Corporation,1889423,"KITCHENER, Ontario, Canada",Active,all_businesses.json
SIMON BOLIVAR HOUSING CO-OPERATIVE INC,SIMON BOLIVAR HOUSING CO-OPERATIVE INC. (522036),88.37209302325581,Co-operative Non-Share,522036,"KITCHENER, Ontario, Canada",Active,all_businesses.json
SLAVONIA-CROATIAN NON-PROFIT HOMES INC,SLAVONIA-CROATIAN NON-PROFIT HOMES INC. (689849),88.37209302325581,Not-for-Profit Corporation,689849,"KITCHENER, Ontario, Canada",Active,all_businesses.json
SPRUCEWOODS CO-OPERATIVE HOMES INC,SPRUCEWOODS CO-OPERATIVE HOMES INC. (522605),87.17948717948718,Co-operative Non-Share,522605,"KITCHENER, Ontario, Canada",Active,all_businesses.json
ST MARY ERITREAN ORTHODOX AGAZIAN CHURCH,SAINT MARY ERITREAN ORTHODOX AGAZIAN CHURCH (1506311),86.02150537634408,Not-for-Profit Corporation,1506311,"Kitchener, Ontario, Canada",Active,all_businesses.json
STIRLING AVENUE MENNONITE CHURCH,STIRLING AVENUE MENNONITE CHURCH (1681469),86.48648648648648,Not-for-Profit Corporation,1681469,"KITCHENER, Ontario, Canada",Active,all_businesses.json
THRESHOLDS HOMES AND SUPPORTS INC,THRESHOLDS HOMES AND SUPPORTS INC. (5030059),85.71428571428572,Not-for-Profit Corporation,5030059,"Kitchener, Ontario, Canada",Active,all_businesses.json
TRAVERSE INDEPENDENCE NOT-FOR-PROFIT,TRAVERSE INDEPENDENCE NOT-FOR-PROFIT (354436),88.88888888888889,Not-for-Profit Corporation,354436,"Kitchener, Ontario, Canada",Active,all_businesses.json
TRUE JESUS CHURCH IN KITCHENER-WATERLOO,TRUE JESUS CHURCH IN KITCHENER-WATERLOO (1950284),88.63636363636364,Not-for-Profit Corporation,1950284,"Kitchener, Ontario, Canada",Active,all_businesses.json
VERIDEIA CLASSICAL CHRISTIAN ACADEMY,VERIDEIA CLASSICAL CHRISTIAN ACADEMY (750647),88.88888888888889,Not-for-Profit Corporation,750647,"KITCHENER, Ontario, Canada",Active,all_businesses.json
WHITE OWL NATIVE ANCESTRY ASSOCIATION,WHITE OWL NATIVE ANCESTRY ASSOCIATION (313363),89.1566265060241,Not-for-Profit Corporation,313363,"Kitchener, Ontario, Canada",Active,all_businesses.json
WILFRID LAURIER UNIVERSITY,WILFRID LAURIER UNIVERSITY (100472),85.24590163934427,Not-for-Profit Corporation,100472,"Waterloo, Ontario, Canada",Active,all_businesses.json
WILLOWSIDE HOUSING CO-OPERATIVE INC,WILLOWSIDE HOUSING CO-OPERATIVE INC. (522355),87.5,Co-operative Non-Share,522355,"Kitchener, Ontario, Canada",Active,all_businesses.json
YMCA OF THREE RIVERS (MIDWESTERN ONTARIO,YMCA OF THREE RIVERS (MIDWESTERN ONTARIO) (680706),88.88888888888889,Not-for-Profit Corporation,680706,"Cambridge, Ontario, Canada",Active,all_businesses.json
